keperluan,izin,kategori
menemui orang tua,IB,Bertemu Keluarga
ke rumah ito dan keluarga di silaen,IB,Bertemu Keluarga
berkunjung ke rumah teman,IB,Bertemu Keluarga
"izin libur semester lebih awal, pulang ke jakarta._x000d_
selamat natal dan tahun baru pak",IB,Bertemu Keluarga
keperluan ke rumah orang tua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
ke rumah teman,IB,Bertemu Keluarga
izin ke rumah saudara dan persiapan uts,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur paskah berkumpul dengan keluarga tercinta,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah saudara,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur semester ta. 2023/2024 rindu rumah,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
mengunjungi keluarga atau saudara,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu keluarga dan saudara,IB,Bertemu Keluarga
libur paskah ingin bertemu keluarga,IB,Bertemu Keluarga
"libur lebaran. minal aidzin walfa idzin, mohon maaf lahir dan batin.",IB,Bertemu Keluarga
libur dan persiapan untuk seminar proyek akhir 1,IB,Bertemu Keluarga
ke rumah orang tua dan saudara,IB,Bertemu Keluarga
"menikmati libur semester 2 _x000d_
nb: maaf pak, seharusnya tanggal 22 tapi tidak bisa karena tanggal tidak masuk saat di request, pernah kepencet batal. terima kasih pak",IB,Bertemu Keluarga
menemui orang tua,IB,Bertemu Keluarga
ke rumah ito dan keluarga di silaen,IB,Bertemu Keluarga
berkunjung ke rumah teman,IB,Bertemu Keluarga
"izin libur semester lebih awal, pulang ke jakarta._x000d_
selamat natal dan tahun baru pak",IB,Bertemu Keluarga
keperluan ke rumah orang tua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
ke rumah teman,IB,Bertemu Keluarga
izin ke rumah saudara dan persiapan uts,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur paskah berkumpul dengan keluarga tercinta,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah saudara,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur semester ta. 2023/2024 rindu rumah,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
mengunjungi keluarga atau saudara,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu keluarga dan saudara,IB,Bertemu Keluarga
libur paskah ingin bertemu keluarga,IB,Bertemu Keluarga
"libur lebaran. minal aidzin walfa idzin, mohon maaf lahir dan batin.",IB,Bertemu Keluarga
libur dan persiapan untuk seminar proyek akhir 1,IB,Bertemu Keluarga
ke rumah orang tua dan saudara,IB,Bertemu Keluarga
"menikmati libur semester 2 _x000d_
nb: maaf pak, seharusnya tanggal 22 tapi tidak bisa karena tanggal tidak masuk saat di request, pernah kepencet batal. terima kasih pak",IB,Bertemu Keluarga
menemui orang tua,IB,Bertemu Keluarga
ke rumah ito dan keluarga di silaen,IB,Bertemu Keluarga
berkunjung ke rumah teman,IB,Bertemu Keluarga
"izin libur semester lebih awal, pulang ke jakarta._x000d_
selamat natal dan tahun baru pak",IB,Bertemu Keluarga
keperluan ke rumah orang tua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
ke rumah teman,IB,Bertemu Keluarga
izin ke rumah saudara dan persiapan uts,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur paskah berkumpul dengan keluarga tercinta,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah saudara,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur semester ta. 2023/2024 rindu rumah,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
mengunjungi keluarga atau saudara,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu keluarga dan saudara,IB,Bertemu Keluarga
libur paskah ingin bertemu keluarga,IB,Bertemu Keluarga
"libur lebaran. minal aidzin walfa idzin, mohon maaf lahir dan batin.",IB,Bertemu Keluarga
libur dan persiapan untuk seminar proyek akhir 1,IB,Bertemu Keluarga
ke rumah orang tua dan saudara,IB,Bertemu Keluarga
"menikmati libur semester 2 _x000d_
nb: maaf pak, seharusnya tanggal 22 tapi tidak bisa karena tanggal tidak masuk saat di request, pernah kepencet batal. terima kasih pak",IB,Bertemu Keluarga
menemui orang tua,IB,Bertemu Keluarga
ke rumah ito dan keluarga di silaen,IB,Bertemu Keluarga
berkunjung ke rumah teman,IB,Bertemu Keluarga
"izin libur semester lebih awal, pulang ke jakarta._x000d_
selamat natal dan tahun baru pak",IB,Bertemu Keluarga
keperluan ke rumah orang tua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
ke rumah teman,IB,Bertemu Keluarga
izin ke rumah saudara dan persiapan uts,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur paskah berkumpul dengan keluarga tercinta,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah saudara,IB,Bertemu Keluarga
ke rumah saudara,IB,Bertemu Keluarga
libur semester ta. 2023/2024 rindu rumah,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
"libur semester ganjil_x000d_
rindu sama keluarga di kampung",IB,Bertemu Keluarga
rindu keluarga,IB,Bertemu Keluarga
rindu teman,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
pemilihan umum,IB,Lainnya
rindu teman,IB,Lainnya
rindu,IB,Lainnya
libur paskah,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
rindu rumah,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
kontrol gigi dan behel.,IB,Pergi ke Klinik
"rindu bapak, mama, adek.",IB,Lainnya
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua_x000d_,IB,Bertemu Keluarga
berkunjung ke tempat keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
bekunjung ke  rumah saudara,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
"libur paskah, pulang ke rumah",IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah orang tua,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
"pulang ke rumah orang tua, pca telah selesai",IB,Bertemu Keluarga
kontrol behel.,IB,Pergi ke Klinik
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah orangtua.,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah orangtua,IB,Bertemu Keluarga
libur imlek,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur idul fitri,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah ada kegiatan bersama keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang libur semester,IB,Bertemu Keluarga
pulang ke rumah orang tua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
berkunjung ke rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah orangtua,IB,Bertemu Keluarga
ingin berkunjung ke rumah,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
eomeoniui saeng-il chugha,IB,Lainnya
hyuil,IB,Lainnya
jib-ega,IB,Bertemu Keluarga
gajog-eul mannada,IB,Lainnya
back home,IB,Lainnya
celebrating easter with fam,IB,Lainnya
pulang,IB,Bertemu Keluarga
